state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Kentucky,KY,2064,JJA,ssp585,High emissions (SSP585),24.029650992877578,22.83220207841429,1.1974489144632894
Kentucky,KY,2065,JJA,ssp585,High emissions (SSP585),24.13342232759692,22.83220207841429,1.3012202491826332
Kentucky,KY,2066,JJA,ssp585,High emissions (SSP585),25.23988828440338,22.83220207841429,2.4076862059890933
Kentucky,KY,2067,JJA,ssp585,High emissions (SSP585),26.099568426670636,22.83220207841429,3.2673663482563478
Kentucky,KY,2068,JJA,ssp585,High emissions (SSP585),25.700429091747203,22.83220207841429,2.8682270133329113
Kentucky,KY,2069,JJA,ssp585,High emissions (SSP585),24.976584315584727,22.83220207841429,2.1443822371704333
Kentucky,KY,2070,JJA,ssp585,High emissions (SSP585),24.586786987182684,22.83220207841429,1.7545849087683953
Louisiana,LA,2020,JJA,ssp126,Low emissions (SSP126),26.843128260859647,26.843128260859647,0.0
Louisiana,LA,2021,JJA,ssp126,Low emissions (SSP126),29.631434544615793,26.843128260859647,2.7883062837561434
Louisiana,LA,2022,JJA,ssp126,Low emissions (SSP126),27.459096665472902,26.843128260859647,0.6159684046132539
Louisiana,LA,2023,JJA,ssp126,Low emissions (SSP126),28.42099182146089,26.843128260859647,1.5778635606012472
Louisiana,LA,2024,JJA,ssp126,Low emissions (SSP126),29.234448313376085,26.843128260859647,2.3913200525164404
Louisiana,LA,2025,JJA,ssp126,Low emissions (SSP126),30.8038975520455,26.843128260859647,3.960769291185854
Louisiana,LA,2026,JJA,ssp126,Low emissions (SSP126),28.579303749975388,26.843128260859647,1.7361754891157462
Louisiana,LA,2027,JJA,ssp126,Low emissions (SSP126),28.06858129707687,26.843128260859647,1.2254530362172256
Louisiana,LA,2028,JJA,ssp126,Low emissions (SSP126),26.538834434505052,26.843128260859647,-0.3042938263545923
Louisiana,LA,2029,JJA,ssp126,Low emissions (SSP126),29.51326865286662,26.843128260859647,2.6701403920069775
Louisiana,LA,2030,JJA,ssp126,Low emissions (SSP126),27.86768702129032,26.843128260859647,1.0245587604306745
Louisiana,LA,2031,JJA,ssp126,Low emissions (SSP126),27.19163919010472,26.843128260859647,0.34851092924507543
Louisiana,LA,2032,JJA,ssp126,Low emissions (SSP126),29.734779855597985,26.843128260859647,2.8916515947383385
Louisiana,LA,2033,JJA,ssp126,Low emissions (SSP126),27.01986668241892,26.843128260859647,0.1767384215592746
Louisiana,LA,2034,JJA,ssp126,Low emissions (SSP126),27.568462855493102,26.843128260859647,0.7253345946334547
Louisiana,LA,2035,JJA,ssp126,Low emissions (SSP126),27.56558254703796,26.843128260859647,0.7224542861783141
Louisiana,LA,2036,JJA,ssp126,Low emissions (SSP126),26.185949307423332,26.843128260859647,-0.6571789534363093
Louisiana,LA,2037,JJA,ssp126,Low emissions (SSP126),28.18064363702999,26.843128260859647,1.3375153761703416
Louisiana,LA,2038,JJA,ssp126,Low emissions (SSP126),28.571370287025218,26.843128260859647,1.7282420261655729
Louisiana,LA,2039,JJA,ssp126,Low emissions (SSP126),28.99554735635224,26.843128260859647,2.1524190954925966
